id,x,y,true_label,typology,kmeans_cluster,kmeans_matched
264,28.967848,-12.832158,5,t6,0,5
265,-6.7638707,-7.1245265,3,t4,2,3
266,-0.052923948,10.2779255,7,t8,2,3
267,-0.57179993,42.10889,1,t2,4,1
268,-23.639387,15.770715,0,t1,5,0
269,-0.40983492,11.881502,7,t8,2,3
270,20.224659,26.73298,4,t5,7,4
271,33.42449,17.05819,4,t5,7,4
272,-31.83858,-13.792314,6,t7,3,6
273,37.813408,12.911721,4,t5,7,4
274,-36.049675,23.424215,0,t1,5,0
275,-19.669828,-31.565159,6,t7,3,6
276,-6.727672,-7.115683,3,t4,2,3
277,-0.6557539,16.46198,3,t4,2,3
278,-6.4846096,-14.110007,3,t4,2,3
279,-19.575962,23.346539,0,t1,5,0
280,34.047394,16.737236,4,t5,7,4
281,37.12124,15.663081,4,t5,7,4
282,-29.426912,15.901251,0,t1,5,0
283,6.316908,-35.429962,7,t8,6,7
284,37.475338,8.056896,4,t5,7,4
285,-0.57676727,-5.7315016,3,t4,2,3
286,-41.9229,1.6869197,2,t3,1,2
287,-17.857752,-29.92366,6,t7,3,6
288,37.1766,15.564528,4,t5,7,4
289,-43.917114,-7.988255,2,t3,1,2
290,-37.573616,19.900864,0,t1,5,0
291,-34.337708,-10.406312,2,t3,1,2
292,17.855398,-36.0508,7,t8,6,7
293,33.87517,-14.296994,5,t6,0,5
294,-23.483252,20.980816,0,t1,5,0
295,21.559267,18.012447,1,t2,7,4
296,-4.985132,-3.1471252,7,t8,2,3
297,18.474472,-38.15782,7,t8,6,7
298,-6.218913,-9.206387,3,t4,2,3
299,-40.85623,4.121552,2,t3,1,2
300,5.6706924,-35.398212,7,t8,6,7
301,6.1871343,-28.722673,7,t8,6,7
302,-38.877674,-7.543048,2,t3,1,2
303,7.613788,-25.80608,7,t8,6,7
304,-0.020682678,42.579327,1,t2,4,1
305,-34.24393,-9.834319,2,t3,1,2
306,10.951323,-32.396027,7,t8,6,7
307,5.127891,-34.60204,7,t8,6,7
308,13.765651,34.707977,1,t2,4,1
309,0.9139312,44.942646,1,t2,4,1
310,11.5139475,-29.962719,7,t8,6,7
311,13.267087,34.718624,1,t2,4,1
312,-0.729997,16.891567,3,t4,2,3
313,-0.7058731,-5.7365355,3,t4,2,3
314,30.43421,23.595722,4,t5,7,4
315,-12.51109,-21.93649,6,t7,3,6
316,23.536884,-11.318761,5,t6,0,5
317,-34.17821,-14.409543,6,t7,1,2
318,6.604518,-29.367073,7,t8,6,7
319,-22.40577,23.49127,0,t1,5,0
320,1.0872242,11.850789,3,t4,2,3
