typology,curve,candidate_frame,window_start,window_end
t5-3,curve_76,11,8,14
t5-3,curve_76,12,9,15
t5-3,curve_77,11,8,14
t5-3,curve_77,12,9,15
t5-3,curve_77,13,10,16
t5-3,curve_78,12,9,15
t5-3,curve_78,13,10,16
t5-3,curve_78,14,11,17
t5-3,curve_79,13,10,16
t5-3,curve_79,14,11,17
t5-3,curve_79,15,12,18
t5-3,curve_80,11,8,14
t5-3,curve_80,12,9,15
t5-3,curve_81,12,9,15
t5-3,curve_81,13,10,16
t5-3,curve_82,12,9,15
t5-3,curve_82,13,10,16
t5-3,curve_83,12,9,15
t5-3,curve_83,13,10,16
t5-3,curve_83,14,11,17
t5-3,curve_84,13,10,16
t5-3,curve_84,14,11,17
t5-3,curve_84,15,12,18
t5-3,curve_85,12,9,15
t5-3,curve_85,13,10,16
t5-3,curve_85,14,11,17
t5-3,curve_86,11,8,14
t5-3,curve_86,12,9,15
t5-3,curve_86,13,10,16
t5-3,curve_87,11,8,14
t5-3,curve_87,12,9,15
t5-3,curve_87,13,10,16
t5-3,curve_88,12,9,15
t5-3,curve_88,13,10,16
t5-3,curve_88,14,11,17
t5-3,curve_89,12,9,15
t5-3,curve_89,13,10,16
t5-3,curve_89,14,11,17
t5-3,curve_90,12,9,15
t5-3,curve_90,13,10,16
t5-3,curve_91,12,9,15
t5-3,curve_91,13,10,16
t5-3,curve_92,11,8,14
t5-3,curve_92,12,9,15
t5-3,curve_92,13,10,16
t5-3,curve_93,11,8,14
t5-3,curve_93,12,9,15
t5-3,curve_94,11,8,14
t5-3,curve_94,12,9,15
t5-3,curve_94,13,10,16
t5-3,curve_95,12,9,15
t5-3,curve_95,13,10,16
t5-3,curve_95,14,11,17
t5-3,curve_96,12,9,15
t5-3,curve_96,13,10,16
t5-3,curve_96,14,11,17
t5-3,curve_97,13,10,16
t5-3,curve_97,14,11,17
t5-3,curve_98,11,8,14
t5-3,curve_98,12,9,15
t5-3,curve_98,13,10,16
t5-3,curve_99,12,9,15
t5-3,curve_99,13,10,16
t5-3,curve_99,14,11,17
