typology,curve,candidate_frame,window_start,window_end
b3,curve_00,14,11,17
b3,curve_00,15,12,18
b3,curve_00,34,31,37
b3,curve_00,35,32,38
b3,curve_00,38,35,41
b3,curve_00,39,36,42
b3,curve_00,40,37,43
b3,curve_00,49,46,52
b3,curve_00,50,47,53
b3,curve_00,51,48,54
b3,curve_01,11,8,14
b3,curve_01,12,9,15
b3,curve_01,13,10,16
b3,curve_01,22,19,25
b3,curve_01,23,20,26
b3,curve_01,24,21,27
b3,curve_01,34,31,37
b3,curve_01,35,32,38
b3,curve_01,36,33,39
b3,curve_01,37,34,40
b3,curve_01,38,35,41
b3,curve_01,39,36,42
b3,curve_02,11,8,14
b3,curve_02,12,9,15
b3,curve_02,13,10,16
b3,curve_02,14,11,17
b3,curve_02,22,19,25
b3,curve_02,23,20,26
b3,curve_02,24,21,27
b3,curve_02,38,35,41
b3,curve_02,39,36,42
b3,curve_02,40,37,43
b3,curve_02,41,38,44
b3,curve_03,12,9,15
b3,curve_03,13,10,16
b3,curve_03,14,11,17
b3,curve_03,22,19,25
b3,curve_03,23,20,26
b3,curve_03,24,21,27
b3,curve_03,37,34,40
b3,curve_03,38,35,41
b3,curve_03,39,36,42
b3,curve_03,40,37,43
b3,curve_04,12,9,15
b3,curve_04,13,10,16
b3,curve_04,14,11,17
b3,curve_04,23,20,26
b3,curve_04,24,21,27
b3,curve_04,34,31,37
b3,curve_04,35,32,38
b3,curve_04,36,33,39
b3,curve_04,37,34,40
b3,curve_04,38,35,41
b3,curve_04,39,36,42
b3,curve_05,11,8,14
b3,curve_05,12,9,15
b3,curve_05,13,10,16
b3,curve_05,22,19,25
b3,curve_05,23,20,26
b3,curve_05,24,21,27
b3,curve_05,37,34,40
b3,curve_05,38,35,41
b3,curve_05,39,36,42
b3,curve_05,40,37,43
b3,curve_06,11,8,14
b3,curve_06,12,9,15
b3,curve_06,13,10,16
b3,curve_06,22,19,25
b3,curve_06,23,20,26
b3,curve_06,24,21,27
b3,curve_06,33,30,36
b3,curve_06,34,31,37
b3,curve_06,35,32,38
b3,curve_06,36,33,39
b3,curve_06,37,34,40
b3,curve_06,38,35,41
b3,curve_06,43,40,46
b3,curve_06,44,41,47
b3,curve_07,11,8,14
b3,curve_07,12,9,15
b3,curve_07,13,10,16
b3,curve_07,22,19,25
b3,curve_07,23,20,26
b3,curve_07,24,21,27
b3,curve_07,33,30,36
b3,curve_07,34,31,37
b3,curve_07,35,32,38
b3,curve_07,36,33,39
b3,curve_07,37,34,40
b3,curve_07,38,35,41
b3,curve_07,39,36,42
b3,curve_08,11,8,14
b3,curve_08,12,9,15
b3,curve_08,13,10,16
b3,curve_08,14,11,17
b3,curve_08,22,19,25
b3,curve_08,23,20,26
b3,curve_08,24,21,27
b3,curve_08,34,31,37
b3,curve_08,35,32,38
b3,curve_08,36,33,39
b3,curve_08,37,34,40
b3,curve_08,38,35,41
b3,curve_08,39,36,42
b3,curve_08,40,37,43
b3,curve_09,12,9,15
b3,curve_09,13,10,16
