typology,curve,candidate_frame,window_start,window_end,combined_intensity,l2_intensity,dssim_intensity
t1-1,curve_20,10,7,13,0.7765240129178744,0.7810061078937444,0.7720419179420045
t1-1,curve_20,11,8,14,0.9999999907595947,0.9999999999958643,0.9999999815233251
t1-1,curve_20,12,9,15,0.9892646852378417,0.992428100298537,0.9861012701771464
t1-1,curve_20,13,10,16,0.8364692696201896,0.832373281898675,0.8405652573417043
t1-1,curve_21,11,8,14,0.9958160841118207,0.9971202689814835,0.9945118992421578
t1-1,curve_21,12,9,15,0.9999999906233684,0.9999999999957022,0.9999999812510346
t1-1,curve_21,13,10,16,0.8333333676724749,0.8363120536570972,0.8303546816878526
t1-1,curve_22,11,8,14,0.9961295835649867,0.9922591848958711,0.9999999822341024
t1-1,curve_22,12,9,15,0.9893245989023229,0.9999999999961325,0.9786491978085134
t1-1,curve_22,13,10,16,0.8276536075919252,0.834059183503015,0.8212480316808353
t1-1,curve_23,10,7,13,0.7790786632480702,0.7769054025540787,0.7812519239420618
t1-1,curve_23,11,8,14,0.9999999908083703,0.99999999999629,0.9999999816204508
t1-1,curve_23,12,9,15,0.9708846885188576,0.9791162060266222,0.9626531710110928
t1-1,curve_23,13,10,16,0.7862130644818583,0.7733016862914246,0.799124442672292
t1-1,curve_24,10,7,13,0.767360839064495,0.7615102052233829,0.7732114729056072
t1-1,curve_24,11,8,14,0.9999999908106483,0.9999999999962914,0.9999999816250053
t1-1,curve_24,12,9,15,0.973797674625736,0.9813587629837678,0.9662365862677043
t1-1,curve_24,13,10,16,0.7819600231874203,0.7679743291657527,0.7959457172090879
t1-1,curve_25,10,7,13,0.7811199507113917,0.7875372900906574,0.7747026113321259
t1-1,curve_25,11,8,14,0.9988668898016713,0.9977337980847106,0.9999999815186318
t1-1,curve_25,12,9,15,0.9862175148112885,0.999999999995899,0.972435029626678
t1-1,curve_25,13,10,16,0.8215280174519071,0.8334208970761675,0.8096351378276467
t1-1,curve_26,10,7,13,0.7951712359698193,0.8049446518786495,0.785397820060989
t1-1,curve_26,11,8,14,0.9975585282265707,0.9951170747318694,0.999999981721272
t1-1,curve_26,12,9,15,0.9951689134035784,0.9999999999959904,0.9903378268111662
t1-1,curve_26,13,10,16,0.8310967208965978,0.825787790839178,0.8364056509540176
t1-1,curve_27,10,7,13,0.8189470022975024,0.8185338745451386,0.8193601300498662
t1-1,curve_27,11,8,14,0.999999990576581,0.9999999999959782,0.9999999811571837
t1-1,curve_27,12,9,15,0.9737144939896207,0.9774156619983164,0.970013325980925
t1-1,curve_27,13,10,16,0.7987355798302954,0.7833297257269548,0.814141433933636
t1-1,curve_28,10,7,13,0.8101750989890689,0.8065593896356128,0.813790808342525
t1-1,curve_28,11,8,14,0.9999999905770122,0.9999999999960417,0.9999999811579826
t1-1,curve_28,12,9,15,0.9705947968595678,0.9727760862747369,0.9684135074443987
t1-1,curve_28,13,10,16,0.7959099689046243,0.7798771829988438,0.8119427548104047
t1-1,curve_29,10,7,13,0.8096479657084541,0.8110082173174975,0.8082877140994107
t1-1,curve_29,11,8,14,0.9999999906198913,0.9999999999959018,0.9999999812438808
t1-1,curve_29,12,9,15,0.9781583150933053,0.9838077367072772,0.9725088934793334
t1-1,curve_29,13,10,16,0.8207985756169709,0.814242037411523,0.8273551138224187
t1-1,curve_30,10,7,13,0.8134257309307616,0.8163539822426114,0.8104974796189119
t1-1,curve_30,11,8,14,0.9999999907165775,0.9999999999960036,0.9999999814371515
t1-1,curve_30,12,9,15,0.9749193743496261,0.9861957565727096,0.9636429921265426
t1-1,curve_30,13,10,16,0.8118280986196833,0.8080235641278819,0.8156326331114848
t1-1,curve_31,10,7,13,0.7550518814116772,0.7583708732647523,0.7517328895586022
t1-1,curve_31,11,8,14,0.996372080972535,0.9927441802309329,0.9999999817141372
t1-1,curve_31,12,9,15,0.9887092537528704,0.9999999999958719,0.977418507509869
t1-1,curve_31,13,10,16,0.8309358605111912,0.8395318441404959,0.8223398768818865
t1-1,curve_32,10,7,13,0.7643759192474917,0.7726976522074905,0.756054186287493
t1-1,curve_32,11,8,14,0.9999999906946695,0.9999999999957971,0.999999981393542
t1-1,curve_32,12,9,15,0.9903202368073444,0.9946127281417156,0.9860277454729731
t1-1,curve_32,13,10,16,0.8397744920944656,0.8445234250908185,0.8350255590981127
t1-1,curve_33,10,7,13,0.7473606752201629,0.7508928221956336,0.7438285282446924
t1-1,curve_33,11,8,14,0.9944518984498718,0.9893196706547275,0.9995841262450161
t1-1,curve_33,12,9,15,0.9999999907685966,0.9999999999957389,0.9999999815414542
t1-1,curve_33,13,10,16,0.8485697271358783,0.854118182851565,0.8430212714201916
t1-1,curve_34,11,8,14,0.999999991601364,0.999999999996522,0.999999983206206
t1-1,curve_34,12,9,15,0.9466774207793185,0.9602526383557444,0.9331022032028925
t1-1,curve_34,13,10,16,0.7564936637892702,0.7605277793218038,0.7524595482567366
t1-1,curve_35,10,7,13,0.7970673770155974,0.798756746165818,0.7953780078653766
t1-1,curve_35,11,8,14,0.9999999908543304,0.9999999999959949,0.9999999817126659
t1-1,curve_35,12,9,15,0.9913621836758624,0.9979783759034855,0.9847459914482393
t1-1,curve_35,13,10,16,0.8238391887519367,0.8169568601287778,0.8307215173750957
t1-1,curve_36,11,8,14,0.9599488688695132,0.9634129456056824,0.956484792133344
t1-1,curve_36,12,9,15,0.9999999908073113,0.9999999999956846,0.999999981618938
t1-1,curve_36,13,10,16,0.8645317373332577,0.8695184076208066,0.859545067045709
t1-1,curve_37,10,7,13,0.818945616744666,0.8205651966860482,0.817326036803284
t1-1,curve_37,11,8,14,0.9999999906106596,0.9999999999960192,0.9999999812252999
t1-1,curve_37,12,9,15,0.9678766755451474,0.9751430844263506,0.9606102666639443
t1-1,curve_37,13,10,16,0.7990896138915977,0.7871543063035014,0.8110249214796941
t1-1,curve_38,10,7,13,0.7580525263444571,0.7658613828708501,0.7502436698180641
t1-1,curve_38,11,8,14,0.9990663953066742,0.9981328090558468,0.9999999815575016
t1-1,curve_38,12,9,15,0.9981777517792472,0.9999999999958036,0.9963555035626906
t1-1,curve_38,13,10,16,0.8594333092340087,0.8582143730462026,0.8606522454218147
t1-1,curve_39,10,7,13,0.7972230556159652,0.7946559944180208,0.7997901168139094
t1-1,curve_39,11,8,14,0.9999999906432548,0.9999999999961711,0.9999999812903386
t1-1,curve_39,12,9,15,0.9744826823929775,0.9805145102500308,0.9684508545359242
t1-1,curve_39,13,10,16,0.7874121509133098,0.7715523192024072,0.8032719826242125
t1-1,curve_40,11,8,14,0.9631515334881844,0.9376477552712614,0.9886553117051072
t1-1,curve_40,12,9,15,0.9999999908701336,0.9999999999960031,0.9999999817442641
t1-1,curve_40,13,10,16,0.8439067429966655,0.8519333711635854,0.8358801148297456
t1-1,curve_41,10,7,13,0.8186985120738046,0.8181927970760126,0.8192042270715966
t1-1,curve_41,11,8,14,0.9999999905193933,0.9999999999959772,0.9999999810428092
t1-1,curve_41,12,9,15,0.9760603346181707,0.9783196366659388,0.9738010325704026
t1-1,curve_41,13,10,16,0.8157389350287888,0.8051776921180311,0.8263001779395465
t1-1,curve_42,10,7,13,0.8015509196670851,0.8008951896998611,0.8022066496343092
t1-1,curve_42,11,8,14,0.9999999906140924,0.9999999999958953,0.9999999812322894
t1-1,curve_42,12,9,15,0.9836785656818776,0.9926265774350855,0.9747305539286696
t1-1,curve_42,13,10,16,0.8093050566673401,0.8167060108678788,0.8019041024668014
t1-1,curve_43,10,7,13,0.8022190085726201,0.8076280747441645,0.7968099424010756
t1-1,curve_43,11,8,14,0.9999999907059343,0.9999999999959058,0.9999999814159628
t1-1,curve_43,12,9,15,0.977561447788543,0.9905389653933052,0.9645839301837809
t1-1,curve_43,13,10,16,0.8138331468157345,0.816423431254301,0.8112428623771679
t1-1,curve_44,10,7,13,0.7577160614348426,0.7646239873082664,0.7508081355614187
t1-1,curve_44,11,8,14,0.9999999909259643,0.9999999999960395,0.9999999818558889
t1-1,curve_44,12,9,15,0.9852394964369133,0.9910288115148888,0.9794501813589378
t1-1,curve_44,13,10,16,0.8216372194196705,0.8146204949280548,0.8286539439112862
t1-1,curve_45,10,7,13,0.8216917965442395,0.8215748558863668,0.8218087372021122
t1-1,curve_45,11,8,14,0.9999999904088541,0.9999999999959469,0.9999999808217613
t1-1,curve_45,12,9,15,0.9733720768010692,0.9762021086179437,0.9705420449841946
t1-1,curve_45,13,10,16,0.8018708419397074,0.7841381794009723,0.8196035044784425
t1-1,curve_46,10,7,13,0.7714313616233532,0.7823308241269499,0.7605318991197567
t1-1,curve_46,11,8,14,0.9999999907636536,0.9999999999958681,0.9999999815314393
t1-1,curve_46,12,9,15,0.9923277009830483,0.9956596502341654,0.9889957517319313
t1-1,curve_46,13,10,16,0.8359998729530635,0.8314447620911747,0.8405549838149525
t1-1,curve_47,10,7,13,0.8012727192791507,0.7982129560319392,0.8043324825263621
t1-1,curve_47,11,8,14,0.9999999906448653,0.9999999999959929,0.9999999812937377
t1-1,curve_47,12,9,15,0.9758908095111628,0.9764921123973734,0.9752895066249522
t1-1,curve_47,13,10,16,0.8045640836077824,0.8012273893510515,0.8079007778645133
t1-1,curve_48,10,7,13,0.7486749597793334,0.7509740136657382,0.7463759058929287
t1-1,curve_48,11,8,14,0.9999999913077646,0.999999999996241,0.9999999826192884
t1-1,curve_48,12,9,15,0.9656439965253665,0.9874592060366423,0.9438287870140907
t1-1,curve_48,13,10,16,0.7687926689050577,0.784614368167841,0.7529709696422744
t1-1,curve_49,11,8,14,0.9839111130687024,0.9824777151184466,0.985344511018958
t1-1,curve_49,12,9,15,0.9999999908282644,0.9999999999957261,0.9999999816608027
t1-1,curve_49,13,10,16,0.8494085690307882,0.8503618423523794,0.8484552957091971
t1-1,curve_50,10,7,13,0.8217333222523202,0.8196003763398517,0.8238662681647888
t1-1,curve_50,11,8,14,0.9999999905229012,0.9999999999959257,0.9999999810498768
t1-1,curve_50,12,9,15,0.9765498060460045,0.9791366837846264,0.9739629283073825
t1-1,curve_50,13,10,16,0.8079882090229933,0.7926971326272161,0.8232792854187706
t1-1,curve_51,10,7,13,0.7630516017561662,0.7696867871341042,0.7564164163782281
t1-1,curve_51,11,8,14,0.9983072912556714,0.9966146009357778,0.9999999815755649
t1-1,curve_51,12,9,15,0.9978953887391027,0.9999999999958595,0.9957907774823459
t1-1,curve_51,13,10,16,0.8518112546789467,0.8495432830236719,0.8540792263342215
t1-1,curve_52,10,7,13,0.8078223447540331,0.8053005184234525,0.8103441710846139
t1-1,curve_52,11,8,14,0.9999999906230826,0.9999999999960303,0.999999981250135
t1-1,curve_52,12,9,15,0.9752667425321497,0.9772362930501558,0.9732971920141438
t1-1,curve_52,13,10,16,0.8041086474946717,0.7972487235519653,0.810968571437378
t1-1,curve_53,10,7,13,0.7815349474142865,0.7912042731497639,0.7718656216788092
t1-1,curve_53,11,8,14,0.9959021913293302,0.9918044008946869,0.9999999817639734
t1-1,curve_53,12,9,15,0.998037075780811,0.9999999999959975,0.9960741515656246
t1-1,curve_53,13,10,16,0.8424572972066047,0.8359527368521188,0.8489618575610904
t1-1,curve_54,10,7,13,0.7604706081302656,0.7611337871206536,0.7598074291398775
t1-1,curve_54,11,8,14,0.9999999907196375,0.9999999999958159,0.9999999814434593
t1-1,curve_54,12,9,15,0.9837411965430127,0.987468899804416,0.9800134932816096
t1-1,curve_54,13,10,16,0.8167466169746107,0.8171675273675034,0.8163257065817181
t1-1,curve_55,10,7,13,0.7890226584629716,0.7848800625540928,0.7931652543718504
t1-1,curve_55,11,8,14,0.9999999907695473,0.9999999999959832,0.9999999815431113
t1-1,curve_55,12,9,15,0.9805444845604536,0.9817605079539599,0.9793284611669474
t1-1,curve_55,13,10,16,0.8043841129185785,0.8041218808374834,0.8046463449996736
t1-1,curve_56,11,8,14,0.9778831768809952,0.973106901508023,0.9826594522539674
t1-1,curve_56,12,9,15,0.9999999909659125,0.9999999999959466,0.9999999819358785
t1-1,curve_56,13,10,16,0.8576179523348951,0.8532616354143929,0.8619742692553973
t1-1,curve_57,10,7,13,0.8117787696817007,0.81261178942786,0.8109457499355414
t1-1,curve_57,11,8,14,0.9999999905927535,0.9999999999959753,0.9999999811895317
t1-1,curve_57,12,9,15,0.9674430827818816,0.9715703831047606,0.9633157824590025
t1-1,curve_57,13,10,16,0.8007191882299334,0.7863924628986794,0.8150459135611874
t1-1,curve_58,10,7,13,0.8078983982318919,0.8062207338920047,0.8095760625717792
t1-1,curve_58,11,8,14,0.9999999905821739,0.9999999999958191,0.9999999811685287
t1-1,curve_58,12,9,15,0.9714576629871312,0.9752586226244773,0.9676567033497853
t1-1,curve_58,13,10,16,0.8102871769077924,0.8079065471055584,0.8126678067100263
t1-1,curve_59,11,8,14,0.9671441353971196,0.9611714549903534,0.9731168158038859
t1-1,curve_59,12,9,15,0.9999999910119844,0.9999999999959475,0.9999999820280214
t1-1,curve_59,13,10,16,0.8587953494341145,0.8536852518715224,0.8639054469967065
t1-1,curve_60,10,7,13,0.7561187071282973,0.7648846038140791,0.7473528104425154
t1-1,curve_60,11,8,14,0.9976830463287185,0.995366111034927,0.9999999816225099
t1-1,curve_60,12,9,15,0.9891906540486527,0.9999999999958936,0.9783813081014118
t1-1,curve_60,13,10,16,0.8210008800872611,0.8279124231801154,0.8140893369944069
t1-1,curve_61,10,7,13,0.7819331625277258,0.7769308714793138,0.7869354535761378
t1-1,curve_61,11,8,14,0.99999999084186,0.9999999999961453,0.9999999816875748
t1-1,curve_61,12,9,15,0.9697315752518288,0.9712757793926061,0.9681873711110516
t1-1,curve_61,13,10,16,0.7994672338469392,0.7916074581085137,0.8073270095853646
t1-1,curve_62,10,7,13,0.7534914407133568,0.7574944318800244,0.7494884495466894
t1-1,curve_62,11,8,14,0.9999999911495687,0.9999999999961706,0.9999999823029669
t1-1,curve_62,12,9,15,0.9730689498738441,0.9882582044084731,0.9578796953392149
t1-1,curve_62,13,10,16,0.7943390021208054,0.8030562901156217,0.7856217141259891
t1-1,curve_63,11,8,14,0.9855764523258137,0.9822588249530197,0.9888940796986078
t1-1,curve_63,12,9,15,0.9999999909529225,0.9999999999958584,0.9999999819099866
t1-1,curve_63,13,10,16,0.8649792262752236,0.8675929196980506,0.8623655328523965
t1-1,curve_64,10,7,13,0.7522335759439952,0.7623712395208082,0.7420959123671822
t1-1,curve_64,11,8,14,0.997710602149918,0.9954212227165542,0.9999999815832817
t1-1,curve_64,12,9,15,0.999365367623152,0.9999999999958432,0.9987307352504607
t1-1,curve_64,13,10,16,0.8604359732462923,0.8611501225003931,0.8597218239921913
t1-1,curve_65,10,7,13,0.7712941913752243,0.7766400701581192,0.7659483125923294
t1-1,curve_65,11,8,14,0.9994618402284983,0.9989236982378525,0.9999999822191439
t1-1,curve_65,12,9,15,0.9798012258279405,0.9999999999960855,0.9596024516597956
t1-1,curve_65,13,10,16,0.7924970599037846,0.8055314516236001,0.7794626681839691
t1-1,curve_66,10,7,13,0.7891977452108053,0.786641832894199,0.7917536575274117
t1-1,curve_66,11,8,14,0.9999999906825987,0.999999999995749,0.9999999813694486
t1-1,curve_66,12,9,15,0.9868983702420365,0.999225276988058,0.9745714634960151
t1-1,curve_66,13,10,16,0.825964461203161,0.8376288227808886,0.8143000996254335
t1-1,curve_67,11,8,14,0.9650993540948705,0.9341241411472458,0.9960745670424951
t1-1,curve_67,12,9,15,0.9999999910308992,0.9999999999960482,0.9999999820657502
t1-1,curve_67,13,10,16,0.827238876391684,0.8342980248451665,0.8201797279382017
t1-1,curve_68,11,8,14,0.9999999912472679,0.9999999999962274,0.9999999824983083
t1-1,curve_68,12,9,15,0.9689542334918537,0.984989551972083,0.9529189150116244
t1-1,curve_68,13,10,16,0.7928099593163722,0.8006012734328488,0.7850186451998955
t1-1,curve_69,10,7,13,0.7970781217766467,0.8005736048887448,0.7935826386645486
t1-1,curve_69,11,8,14,0.9999999909221307,0.9999999999960961,0.9999999818481651
t1-1,curve_69,12,9,15,0.9775037194924178,0.9928423229148452,0.9621651160699903
t1-1,curve_69,13,10,16,0.8032140301855413,0.8052769828408831,0.8011510775301995
t1-1,curve_70,11,8,14,0.9659891984293729,0.9496755498629924,0.9823028469957533
t1-1,curve_70,12,9,15,0.9999999908252404,0.9999999999957556,0.9999999816547253
t1-1,curve_70,13,10,16,0.8545807745653231,0.8654311825523469,0.8437303665782993
t1-1,curve_71,11,8,14,0.9960922543036252,0.9921845262138679,0.9999999823933827
t1-1,curve_71,12,9,15,0.9871478532829701,0.999999999996145,0.974295706569795
t1-1,curve_71,13,10,16,0.8353485868343482,0.8384772986666721,0.8322198750020244
t1-1,curve_72,10,7,13,0.7545617283315407,0.7523274511810345,0.7567960054820467
t1-1,curve_72,11,8,14,0.9916125529651363,0.9832251241205633,0.9999999818097094
t1-1,curve_72,12,9,15,0.9896274970290609,0.9999999999958372,0.9792549940622847
t1-1,curve_72,13,10,16,0.810442637608455,0.817591228408259,0.8032940468086511
t1-1,curve_73,10,7,13,0.7588335244744525,0.7564090217819599,0.7612580271669451
t1-1,curve_73,11,8,14,0.9999999910801396,0.9999999999964264,0.9999999821638527
t1-1,curve_73,12,9,15,0.9738110408703304,0.9850775869066286,0.9625444948340323
t1-1,curve_73,13,10,16,0.7836683566051932,0.7742940002228846,0.7930427129875017
t1-1,curve_74,10,7,13,0.7758611598251114,0.783252273608252,0.7684700460419708
t1-1,curve_74,11,8,14,0.9996021904209795,0.9992043991152593,0.9999999817266999
t1-1,curve_74,12,9,15,0.9811340162568634,0.9999999999959824,0.9622680325177443
t1-1,curve_74,13,10,16,0.8093459190003234,0.8231647390500723,0.7955270989505745
t1-1,curve_75,10,7,13,0.7758107731470175,0.778139015353742,0.7734825309402931
t1-1,curve_75,11,8,14,0.9999999908513952,0.9999999999961169,0.9999999817066737
t1-1,curve_75,12,9,15,0.9813582531200246,0.9882911429620922,0.9744253632779569
t1-1,curve_75,13,10,16,0.7981809775375759,0.7863233036113578,0.810038651463794
t1-1,curve_76,10,7,13,0.7604196057079593,0.7650472649103739,0.7557919465055447
t1-1,curve_76,11,8,14,0.9999999909732981,0.9999999999961016,0.9999999819504946
t1-1,curve_76,12,9,15,0.9819351740081093,0.9919169090517803,0.9719534389644381
t1-1,curve_76,13,10,16,0.8072307209212725,0.8030450773668132,0.8114163644757317
t1-1,curve_77,11,8,14,0.979425141711042,0.9792097560724766,0.9796405273496075
t1-1,curve_77,12,9,15,0.9999999907265018,0.9999999999956161,0.9999999814573877
t1-1,curve_77,13,10,16,0.83407925945027,0.8395323521448348,0.828626166755705
t1-1,curve_78,11,8,14,0.9999999912803239,0.9999999999962094,0.9999999825644384
t1-1,curve_78,12,9,15,0.9753995235088102,0.9934887617645896,0.9573102852530309
t1-1,curve_78,13,10,16,0.8033728694954421,0.8138495680224266,0.7928961709684574
t1-1,curve_79,10,7,13,0.754414668719698,0.7513105442958975,0.7575187931434986
t1-1,curve_79,11,8,14,0.9866752570588644,0.974010651889002,0.9993398622287266
t1-1,curve_79,12,9,15,0.9999999909637761,0.9999999999960942,0.999999981931458
t1-1,curve_79,13,10,16,0.8566064273862417,0.8485748255523824,0.8646380292201011
t1-1,curve_80,10,7,13,0.8141258353189149,0.8138916288207052,0.8143600418171245
t1-1,curve_80,11,8,14,0.9999999905559998,0.9999999999959513,0.999999981116048
t1-1,curve_80,12,9,15,0.9696642568731463,0.9737847699101198,0.9655437438361728
t1-1,curve_80,13,10,16,0.8095493731585006,0.7962415283740872,0.8228572179429141
t1-1,curve_81,11,8,14,0.9700622899512756,0.9500553412814924,0.9900692386210589
t1-1,curve_81,12,9,15,0.9999999909338542,0.9999999999958736,0.9999999818718348
t1-1,curve_81,13,10,16,0.8432411275390319,0.8526711598554895,0.8338110952225742
t1-1,curve_82,10,7,13,0.8084928104073641,0.807375647253338,0.8096099735613901
t1-1,curve_82,11,8,14,0.9999999906264057,0.9999999999959163,0.999999981256895
t1-1,curve_82,12,9,15,0.9769554750200926,0.9805465472328323,0.9733644028073529
t1-1,curve_82,13,10,16,0.8106588438035244,0.7984764920281149,0.8228411955789339
t1-1,curve_83,10,7,13,0.7807258999402518,0.7808995717338341,0.7805522281466695
t1-1,curve_83,11,8,14,0.9933138665464492,0.9866277514141436,0.9999999816787547
t1-1,curve_83,12,9,15,0.9848883248998705,0.9999999999959832,0.9697766498037578
t1-1,curve_83,13,10,16,0.8153094332643199,0.8330528438049951,0.7975660227236447
t1-1,curve_84,10,7,13,0.7792062275551694,0.7793585803362275,0.7790538747741114
t1-1,curve_84,11,8,14,0.9999999908354521,0.9999999999960585,0.9999999816748457
t1-1,curve_84,12,9,15,0.9826596093412037,0.9804885904769028,0.9848306282055045
t1-1,curve_84,13,10,16,0.8069491450912767,0.8016227215812498,0.8122755686013035
t1-1,curve_85,10,7,13,0.7837170568798392,0.7780256954155919,0.7894084183440865
t1-1,curve_85,11,8,14,0.9999999908422244,0.9999999999962971,0.9999999816881517
t1-1,curve_85,12,9,15,0.9742671804422804,0.9803784010569393,0.9681559598276216
t1-1,curve_85,13,10,16,0.7866677093640403,0.7739143434280876,0.799421075299993
t1-1,curve_86,10,7,13,0.7518728210655312,0.7652923114135739,0.7384533307174885
