typology,curve,candidate_frame,window_start,window_end
t2-2,curve_00,13,10,16
t2-2,curve_00,14,11,17
t2-2,curve_00,15,12,18
t2-2,curve_01,13,10,16
t2-2,curve_01,14,11,17
t2-2,curve_01,15,12,18
t2-2,curve_02,11,8,14
t2-2,curve_02,12,9,15
t2-2,curve_02,13,10,16
t2-2,curve_03,12,9,15
t2-2,curve_03,13,10,16
t2-2,curve_03,14,11,17
t2-2,curve_04,12,9,15
t2-2,curve_04,13,10,16
t2-2,curve_04,14,11,17
t2-2,curve_05,11,8,14
t2-2,curve_05,12,9,15
t2-2,curve_05,13,10,16
t2-2,curve_06,11,8,14
t2-2,curve_06,12,9,15
t2-2,curve_06,13,10,16
t2-2,curve_07,13,10,16
t2-2,curve_07,14,11,17
t2-2,curve_07,15,12,18
t2-2,curve_08,14,11,17
t2-2,curve_08,15,12,18
t2-2,curve_08,16,13,19
t2-2,curve_09,13,10,16
t2-2,curve_09,14,11,17
t2-2,curve_09,15,12,18
t2-2,curve_10,12,9,15
t2-2,curve_10,13,10,16
t2-2,curve_10,14,11,17
t2-2,curve_11,11,8,14
t2-2,curve_11,12,9,15
t2-2,curve_11,13,10,16
t2-2,curve_12,12,9,15
t2-2,curve_12,13,10,16
t2-2,curve_12,14,11,17
t2-2,curve_13,11,8,14
t2-2,curve_13,12,9,15
t2-2,curve_13,13,10,16
t2-2,curve_14,12,9,15
t2-2,curve_14,13,10,16
t2-2,curve_14,14,11,17
t2-2,curve_14,15,12,18
t2-2,curve_15,11,8,14
t2-2,curve_15,12,9,15
t2-2,curve_15,13,10,16
t2-2,curve_16,12,9,15
t2-2,curve_16,13,10,16
t2-2,curve_16,14,11,17
t2-2,curve_17,13,10,16
t2-2,curve_17,14,11,17
t2-2,curve_17,15,12,18
t2-2,curve_18,12,9,15
t2-2,curve_18,13,10,16
t2-2,curve_18,14,11,17
t2-2,curve_18,15,12,18
t2-2,curve_19,11,8,14
t2-2,curve_19,12,9,15
t2-2,curve_19,13,10,16
t2-2,curve_19,14,11,17
t2-2,curve_20,11,8,14
t2-2,curve_20,12,9,15
t2-2,curve_20,13,10,16
t2-2,curve_21,11,8,14
t2-2,curve_21,12,9,15
t2-2,curve_21,13,10,16
t2-2,curve_22,13,10,16
t2-2,curve_22,14,11,17
