typology,curve,candidate_frame,window_start,window_end
b2,curve_24,6,3,9
b2,curve_24,7,4,10
b2,curve_24,8,5,11
b2,curve_24,25,22,28
b2,curve_24,26,23,29
b2,curve_24,27,24,30
b2,curve_24,31,28,34
b2,curve_24,32,29,35
b2,curve_24,33,30,36
b2,curve_24,34,31,37
b2,curve_25,6,3,9
b2,curve_25,7,4,10
b2,curve_25,8,5,11
b2,curve_25,12,9,15
b2,curve_25,13,10,16
b2,curve_25,14,11,17
b2,curve_25,28,25,31
b2,curve_25,29,26,32
b2,curve_25,30,27,33
b2,curve_25,31,28,34
b2,curve_25,32,29,35
b2,curve_26,6,3,9
b2,curve_26,7,4,10
b2,curve_26,24,21,27
b2,curve_26,25,22,28
b2,curve_26,26,23,29
b2,curve_26,30,27,33
b2,curve_26,31,28,34
b2,curve_26,32,29,35
b2,curve_26,33,30,36
b2,curve_27,6,3,9
b2,curve_27,7,4,10
b2,curve_27,8,5,11
b2,curve_27,9,6,12
b2,curve_27,31,28,34
b2,curve_27,32,29,35
b2,curve_27,33,30,36
b2,curve_27,34,31,37
b2,curve_27,35,32,38
b2,curve_28,5,2,8
b2,curve_28,6,3,9
b2,curve_28,7,4,10
b2,curve_28,22,19,25
b2,curve_28,23,20,26
b2,curve_28,28,25,31
b2,curve_28,29,26,32
b2,curve_28,30,27,33
b2,curve_28,31,28,34
b2,curve_29,6,3,9
b2,curve_29,7,4,10
b2,curve_29,8,5,11
b2,curve_29,9,6,12
b2,curve_29,25,22,28
b2,curve_29,26,23,29
b2,curve_29,27,24,30
b2,curve_29,32,29,35
b2,curve_29,33,30,36
b2,curve_29,34,31,37
b2,curve_29,35,32,38
b2,curve_30,5,2,8
b2,curve_30,6,3,9
b2,curve_30,7,4,10
b2,curve_30,24,21,27
b2,curve_30,25,22,28
b2,curve_30,26,23,29
b2,curve_30,30,27,33
b2,curve_30,31,28,34
b2,curve_30,32,29,35
b2,curve_30,33,30,36
b2,curve_31,6,3,9
b2,curve_31,7,4,10
b2,curve_31,8,5,11
b2,curve_31,9,6,12
b2,curve_31,12,9,15
b2,curve_31,13,10,16
b2,curve_31,14,11,17
